,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
480,Female,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Gardener or Biologist,Biology and Earth,Pet simulator,Inter Personnelle
1211,Male,Organizes activities with his friends,decides for himself what he think to do and tracks his personal interests alone,Participate in social or sports clubs,Psychiatrist or Salesman or Counselor,Maths,Individual games,Inter Personnelle
4571,Female,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,listens to many styles of music often and repeats the song aloud,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Spatial
37,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Kinesthetic
4604,Female,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Board games or card games,Logico Math̩matique
1190,Male,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
456,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Maths,Guess the song games,Intra Personnelle
4683,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Music,Guess the song games,Musical
1046,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Singer or Music Teacher,Physical education,Building games or maze games or drawing guess games,Spatial
1927,Female,Organizes activities with his friends,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Mathematics teacher or engineer,Arts,Board games or card games,Spatial
4179,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Music,Sports games,Musical
4713,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Mathematics teacher or engineer,Music,Building games or maze games or drawing guess games,Spatial
303,Female,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Psychiatrist or Salesman or Counselor,Music,Building games or maze games or drawing guess games,Musical
1035,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Gardener or Biologist,Maths,Pet simulator,Naturalistic
1009,Female,Listen to music or plays an instrument,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Dancer or Athlete or Build,Arts,Sports games,Inter Personnelle
490,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Music,Sports games,Musical
2702,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
4299,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Music,Pet simulator,Musical
3599,Male,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Arts,Puzzle games or strategy games,Logico Math̩matique
3839,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,Singer or Music Teacher,Biology and Earth,Guess the song games,Musical
1790,Male,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,Read a lot,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Linguistic
1785,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Maths,Guess the song games,Musical
864,Female,Perform scientific experiments,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Arts,Puzzle games or strategy games,Logico Math̩matique
4685,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,Read a lot,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Spatial
733,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Musical
3952,Female,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,foreign languages,Sports games,Inter Personnelle
2819,Female,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Singer or Music Teacher,Biology and Earth,Guess the song games,Musical
998,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
487,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Kinesthetic
974,Male,Organizes activities with his friends,Easily remember the rhythm or music of commercials,Participate in social or sports clubs,Artist or Architect,Music,Sports games,Musical
1738,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Sports games,Spatial
1020,Male,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,Read a lot,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
3747,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,Read a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1501,Male,Spend a lot of time outdoors and identifie plants and animals or insects,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
3257,Male,Organizes activities with his friends,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
574,Male,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Physical education,Individual games,Kinesthetic
1779,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,Maths,Sports games,Kinesthetic
603,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
4252,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
4448,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Spatial
991,Female,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1886,Male,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Artist or Architect,Physical education,Puzzle games or strategy games,Logico Math̩matique
4989,Male,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Logico Math̩matique
4744,Female,Invent write and tell stories,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Singer or Music Teacher,Maths,Puzzle games or strategy games,Logico Math̩matique
1998,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,Maths,Pet simulator,Inter Personnelle
1805,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Journalist or lawyer,Physical education,Puzzle games or strategy games,Kinesthetic
3277,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Spatial
4769,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Psychiatrist or Salesman or Counselor,Music,Building games or maze games or drawing guess games,Spatial
3152,Male,Listen to music or plays an instrument,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
121,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
4155,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Singer or Music Teacher,Maths,Puzzle games or strategy games,Kinesthetic
1008,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
1595,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
1534,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Music,Puzzle games or strategy games,Logico Math̩matique
2606,Male,Spend a lot of time outdoors and identifie plants and animals or insects,solve complex problems easily and have the ability to do mental math quickly,intereste in the environment in his daily actions and learns new things about nature,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
4143,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Physical education,Board games or card games,Kinesthetic
1483,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1762,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Biology and Earth,Sports games,Musical
2483,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Building games or maze games or drawing guess games,Spatial
4473,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
751,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Gardener or Biologist,Physical education,Sports games,Intra Personnelle
3655,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,foreign languages,Building games or maze games or drawing guess games,Logico Math̩matique
264,Female,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
3759,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Puzzle games or strategy games,Logico Math̩matique
4918,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Biology and Earth,Puzzle games or strategy games,Logico Math̩matique
3376,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Music,Building games or maze games or drawing guess games,Spatial
4355,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Maths,Pet simulator,Kinesthetic
4306,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Journalist or lawyer,Physical education,Puzzle games or strategy games,Kinesthetic
940,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
1417,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Music,Individual games,Musical
4398,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Gardener or Biologist,Physical education,Pet simulator,Naturalistic
1006,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
1927,Female,Organizes activities with his friends,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Mathematics teacher or engineer,Arts,Board games or card games,Spatial
2565,Male,Listen to music or plays an instrument,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Board games or card games,Inter Personnelle
66,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Maths,Sports games,Intra Personnelle
4988,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Sports games,Spatial
858,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Kinesthetic
4436,Female,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Spatial
4433,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,foreign languages,Board games or card games,Inter Personnelle
4342,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Singer or Music Teacher,Physical education,Individual games,Kinesthetic
4235,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,foreign languages,Puzzle games or strategy games,Intra Personnelle
4185,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Kinesthetic
2633,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Maths,Guess the song games,Musical
731,Female,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
4178,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Journalist or lawyer,Arts,Puzzle games or strategy games,Kinesthetic
3028,Female,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1274,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Physical education,Sports games,Musical
2554,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,foreign languages,Pet simulator,Kinesthetic
2866,Female,Organizes activities with his friends,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Board games or card games,Inter Personnelle
4505,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Dancer or Athlete or Build,Music,Individual games,Intra Personnelle
3778,Male,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Puzzle games or strategy games,Logico Math̩matique
1824,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
2942,Female,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Gardener or Biologist,Arts,Pet simulator,Inter Personnelle
1846,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Mathematics teacher or engineer,Physical education,Individual games,Kinesthetic
2121,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Music,Building games or maze games or drawing guess games,Musical
628,Male,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
873,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Board games or card games,Logico Math̩matique
3805,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Music,Building games or maze games or drawing guess games,Musical
515,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Kinesthetic
1054,Female,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Dancer or Athlete or Build,Maths,Board games or card games,Inter Personnelle
1408,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Dancer or Athlete or Build,Biology and Earth,Sports games,Kinesthetic
1106,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Individual games,Logico Math̩matique
1668,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,Music,Individual games,Intra Personnelle
1348,Female,Invent write and tell stories,expresses himself with a rich vocabulary,Read a lot,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Linguistic
4267,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Music,Building games or maze games or drawing guess games,Kinesthetic
4905,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,Maths,Sports games,Intra Personnelle
4210,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Music,Pet simulator,Musical
4650,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Musical
2405,Male,Gather and disassemble things, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Puzzle games or strategy games,Logico Math̩matique
3833,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Puzzle games or strategy games,Logico Math̩matique
562,Male,Gather and disassemble things, has the ability to easily recognize birds plants and trees,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
1175,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Sports games,Logico Math̩matique
1204,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
117,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,foreign languages,Building games or maze games or drawing guess games,Musical
4865,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Musical
4479,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,Read a lot,Gardener or Biologist,Music,Building games or maze games or drawing guess games,Linguistic
193,Male,Invent write and tell stories,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Scrabble and word games,Linguistic
2961,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Arts,Individual games,Spatial
2809,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
4910,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Physical education,Individual games,Kinesthetic
3630,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Journalist or lawyer,Music,Building games or maze games or drawing guess games,Spatial
1483,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
