,He likes to be part of a team and enjoy collective activities,It's fun to be with others more than to be alone,Likes to help others,Loves to share his knowledge,It is important for him to follow his own way,He likes to try new things,He do not like to follow the rules,He likes to change things by himself,It is important for him that is always his duties in full,He likes to defeat obstacles,He loves competitions where they can win a prize,If sufficient reward will strive,Playertype
2971,neutral,Does not like,neutral,Likes,Likes,Does not like,Likes,Does not like,Likes,Likes,neutral,Likes,type_achiever
2874,Likes,Likes,Does not like,neutral,Likes,neutral,Likes,Likes,neutral,Does not like,Does not like,neutral,type_socializer
911,Likes,neutral,neutral,neutral,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Does not like,neutral,type_socializer
2415,neutral,Does not like,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,Does not like,Does not like,Likes,type_disruptor
1355,neutral,neutral,neutral,Does not like,Does not like,Likes,Does not like,Does not like,neutral,neutral,Likes,neutral,type_player
1213,Likes,neutral,Likes,Does not like,Likes,neutral,neutral,Likes,neutral,Likes,Likes,Likes,type_player
4865,neutral,neutral,neutral,Likes,Likes,Likes,Likes,Likes,Likes,neutral,Does not like,Likes,type_disruptor
895,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Does not like,Does not like,Likes,Likes,Does not like,type_achiever
3148,Does not like,Does not like,neutral,neutral,Likes,Likes,neutral,Likes,neutral,Likes,Does not like,Does not like,type_freeSpirit
4974,neutral,neutral,neutral,neutral,neutral,Likes,neutral,neutral,Likes,neutral,neutral,Does not like,type_achiever
2516,Does not like,neutral,Likes,Does not like,Likes,neutral,Likes,Likes,Likes,Likes,neutral,neutral,type_achiever
891,Likes,neutral,Likes,Likes,neutral,neutral,Likes,neutral,Does not like,Likes,Does not like,neutral,type_philanthropist
1443,Does not like,neutral,neutral,Does not like,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,Does not like,type_freeSpirit
3730,Likes,neutral,Does not like,neutral,Does not like,Does not like,Likes,Likes,neutral,Does not like,Does not like,Likes,type_disruptor
2015,neutral,neutral,Does not like,neutral,Likes,Likes,Likes,neutral,Does not like,neutral,Likes,Does not like,type_freeSpirit
2689,neutral,Does not like,neutral,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,neutral,type_achiever
3563,Does not like,Likes,neutral,neutral,Likes,neutral,Likes,Likes,neutral,neutral,neutral,Likes,type_disruptor
3997,Likes,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Likes,neutral,Does not like,Likes,neutral,type_player
4751,neutral,Does not like,neutral,Likes,neutral,Likes,Does not like,Does not like,Likes,neutral,neutral,Likes,type_achiever
4287,Likes,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Does not like,Likes,neutral,neutral,type_socializer
2427,neutral,Likes,Does not like,neutral,neutral,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,type_socializer
3924,Does not like,Does not like,Likes,Does not like,Does not like,neutral,neutral,neutral,neutral,Likes,Does not like,Does not like,type_achiever
1189,neutral,Does not like,Does not like,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,Likes,neutral,type_player
2908,Likes,Does not like,Likes,Does not like,neutral,neutral,neutral,Does not like,Does not like,Does not like,Does not like,Does not like,type_socializer
1819,Does not like,neutral,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Likes,Likes,Does not like,type_disruptor
1036,Does not like,neutral,Does not like,Likes,Does not like,neutral,Likes,Likes,Does not like,neutral,Likes,neutral,type_disruptor
3253,Does not like,neutral,Likes,Does not like,Likes,Likes,neutral,Likes,Does not like,Does not like,Does not like,neutral,type_freeSpirit
4154,Likes,Likes,Likes,neutral,Likes,Does not like,Does not like,neutral,neutral,neutral,neutral,neutral,type_socializer
26,Likes,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,Does not like,Likes,Does not like,type_philanthropist
3530,neutral,Does not like,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Likes,Does not like,Does not like,neutral,type_achiever
3156,Likes,Likes,neutral,Does not like,Does not like,Likes,neutral,Likes,neutral,Does not like,Does not like,Likes,type_socializer
1856,Does not like,neutral,Does not like,neutral,neutral,Does not like,neutral,Does not like,neutral,Does not like,Likes,Does not like,type_player
2145,neutral,Likes,neutral,Likes,neutral,Does not like,neutral,Likes,Does not like,neutral,Likes,Likes,type_player
3,neutral,Does not like,neutral,Likes,neutral,Does not like,Does not like,Likes,neutral,neutral,Does not like,neutral,type_philanthropist
344,Likes,neutral,Does not like,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,type_socializer
2545,Does not like,neutral,Likes,neutral,Likes,neutral,neutral,neutral,Does not like,Likes,neutral,Likes,type_player
742,Does not like,neutral,Likes,Does not like,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Likes,neutral,type_freeSpirit
4699,Likes,Likes,neutral,Likes,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,Does not like,type_socializer
3551,Likes,Does not like,Likes,Likes,Likes,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,type_philanthropist
152,neutral,Likes,neutral,Likes,Does not like,Does not like,Likes,Likes,Does not like,neutral,neutral,Does not like,type_disruptor
1378,neutral,Likes,neutral,Likes,neutral,neutral,neutral,neutral,neutral,Likes,neutral,Likes,type_socializer
373,neutral,Does not like,neutral,Does not like,neutral,Does not like,neutral,Likes,Does not like,neutral,Likes,Likes,type_player
1844,neutral,Likes,neutral,neutral,Likes,Likes,neutral,Likes,Does not like,Likes,neutral,Likes,type_freeSpirit
1341,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Likes,neutral,Likes,Does not like,Likes,Does not like,type_disruptor
1586,Does not like,Does not like,Does not like,neutral,Does not like,neutral,neutral,Likes,Likes,Likes,Does not like,neutral,type_achiever
2824,neutral,Likes,Likes,neutral,Does not like,neutral,neutral,Likes,Does not like,Does not like,neutral,Likes,type_socializer
1218,Likes,Does not like,neutral,neutral,Does not like,Likes,Does not like,Likes,Does not like,neutral,neutral,neutral,type_socializer
834,Likes,Likes,Likes,neutral,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,neutral,type_socializer
1013,Likes,Does not like,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Likes,Likes,Likes,type_player
3982,Does not like,neutral,neutral,neutral,neutral,Likes,Does not like,Likes,neutral,Does not like,neutral,Does not like,type_freeSpirit
339,Does not like,Likes,Does not like,Does not like,Likes,Likes,Likes,Does not like,neutral,Does not like,Does not like,neutral,type_freeSpirit
1657,Does not like,neutral,Does not like,Likes,Does not like,neutral,Likes,Does not like,Likes,neutral,Does not like,neutral,type_achiever
3967,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Likes,Likes,Does not like,neutral,Likes,Likes,type_disruptor
3258,Likes,neutral,Does not like,Does not like,neutral,neutral,Likes,Likes,Likes,neutral,Does not like,Does not like,type_disruptor
3853,Likes,Likes,neutral,Likes,Likes,Likes,Likes,Likes,neutral,neutral,Does not like,Does not like,type_socializer
421,Likes,neutral,Does not like,neutral,neutral,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,type_socializer
4427,neutral,neutral,Does not like,Likes,neutral,Does not like,Likes,Does not like,Likes,Does not like,Does not like,neutral,type_socializer
2643,Likes,neutral,Likes,Does not like,Likes,Does not like,Does not like,Likes,Likes,Likes,neutral,neutral,type_achiever
2676,neutral,Likes,Likes,Likes,Likes,Likes,Does not like,neutral,Does not like,Does not like,neutral,Likes,type_philanthropist
2455,neutral,Likes,Likes,neutral,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,Does not like,type_freeSpirit
2257,Likes,Likes,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,neutral,Likes,type_socializer
3864,Likes,Likes,Does not like,Likes,neutral,Does not like,neutral,neutral,Does not like,Does not like,neutral,neutral,type_socializer
694,Likes,Does not like,Likes,neutral,Does not like,Does not like,neutral,neutral,neutral,neutral,Likes,neutral,type_player
2065,neutral,Likes,Does not like,neutral,Does not like,Does not like,Likes,neutral,Does not like,neutral,Likes,neutral,type_socializer
4687,Likes,neutral,Does not like,neutral,Does not like,neutral,Likes,Likes,Does not like,Likes,Likes,Likes,type_disruptor
2457,Likes,Does not like,neutral,Does not like,neutral,neutral,Likes,Likes,Likes,Does not like,Does not like,neutral,type_disruptor
1202,Does not like,Likes,neutral,Likes,Does not like,Does not like,neutral,Likes,Does not like,Likes,Likes,Does not like,type_disruptor
457,neutral,Likes,Does not like,Likes,neutral,neutral,neutral,Likes,neutral,Does not like,Does not like,neutral,type_socializer
3574,Likes,neutral,Does not like,neutral,neutral,Does not like,Likes,neutral,neutral,Does not like,Does not like,Does not like,type_socializer
536,Does not like,Likes,Likes,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Likes,Does not like,type_achiever
4150,Likes,Does not like,neutral,neutral,Likes,neutral,Likes,Does not like,Does not like,Does not like,Likes,Does not like,type_freeSpirit
1800,Likes,neutral,neutral,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,neutral,type_socializer
1638,Likes,Likes,neutral,Likes,Does not like,Does not like,Does not like,Likes,neutral,Does not like,Likes,Does not like,type_socializer
3487,neutral,Does not like,Likes,Does not like,Likes,neutral,Likes,Likes,Likes,neutral,Likes,Likes,type_disruptor
863,neutral,Does not like,Likes,Likes,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,neutral,type_philanthropist
1513,Likes,Likes,Does not like,neutral,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,Does not like,type_socializer
4849,neutral,neutral,neutral,Does not like,neutral,Does not like,Likes,Does not like,neutral,neutral,Likes,neutral,type_player
1658,Does not like,neutral,Likes,Likes,neutral,Does not like,neutral,Does not like,Does not like,Likes,Likes,Does not like,type_philanthropist
2647,Does not like,neutral,Does not like,Does not like,Does not like,Likes,neutral,Likes,neutral,Likes,Likes,Does not like,type_achiever
2048,neutral,Likes,Does not like,neutral,Does not like,neutral,Does not like,neutral,neutral,Likes,Likes,Likes,type_player
4587,Does not like,neutral,Likes,Likes,neutral,Likes,Does not like,Likes,Likes,neutral,Likes,Likes,type_player
4586,Does not like,neutral,Likes,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Likes,neutral,type_achiever
3785,Does not like,Does not like,Likes,neutral,neutral,Does not like,Likes,neutral,neutral,Likes,neutral,neutral,type_achiever
1702,Likes,Likes,neutral,Likes,neutral,Does not like,Does not like,Does not like,neutral,Does not like,Does not like,Likes,type_socializer
4168,Does not like,Does not like,Does not like,Does not like,Does not like,neutral,neutral,Does not like,Does not like,neutral,neutral,neutral,type_player
205,neutral,Likes,neutral,Does not like,neutral,Likes,Does not like,neutral,neutral,neutral,Does not like,Does not like,type_socializer
3627,Does not like,neutral,neutral,Does not like,Does not like,Does not like,Likes,Does not like,Likes,Does not like,Likes,Likes,type_player
2586,Does not like,Does not like,Likes,neutral,Likes,Likes,neutral,Likes,neutral,neutral,neutral,neutral,type_freeSpirit
3985,Does not like,neutral,Likes,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,neutral,Likes,type_freeSpirit
4809,Does not like,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,Likes,neutral,Does not like,type_socializer
4704,neutral,neutral,neutral,neutral,Does not like,Does not like,Does not like,neutral,neutral,neutral,neutral,neutral,type_socializer
1022,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,Does not like,Likes,Likes,Likes,neutral,type_achiever
3847,neutral,Likes,neutral,Likes,Does not like,Does not like,neutral,Likes,Does not like,Likes,Likes,Does not like,type_socializer
4860,Likes,Likes,Likes,neutral,Does not like,Does not like,Does not like,Likes,Likes,neutral,Does not like,Likes,type_socializer
1467,Does not like,Does not like,Likes,Likes,Does not like,Does not like,neutral,Likes,Likes,neutral,neutral,neutral,type_philanthropist
4814,Does not like,Does not like,Does not like,Likes,Likes,neutral,Likes,Likes,neutral,Likes,neutral,Likes,type_disruptor
178,Likes,Likes,Likes,neutral,neutral,Does not like,neutral,neutral,neutral,neutral,Likes,Does not like,type_socializer
2610,neutral,neutral,neutral,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,Likes,neutral,type_player
3720,Does not like,Likes,Does not like,neutral,neutral,Does not like,Likes,neutral,Does not like,Likes,Likes,neutral,type_disruptor
1373,Likes,Does not like,Does not like,neutral,Likes,Likes,neutral,Likes,Does not like,neutral,neutral,Does not like,type_freeSpirit
4087,Likes,Does not like,Likes,Likes,neutral,neutral,Does not like,Likes,Does not like,Does not like,Does not like,Likes,type_philanthropist
3488,Does not like,Likes,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,Likes,neutral,Likes,type_achiever
1714,neutral,Likes,Does not like,Does not like,neutral,neutral,Likes,neutral,Likes,neutral,Does not like,Likes,type_socializer
317,Likes,neutral,neutral,Does not like,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,neutral,type_socializer
3081,neutral,Likes,neutral,neutral,Likes,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,type_socializer
79,Likes,Does not like,Does not like,neutral,Likes,neutral,Likes,Likes,neutral,neutral,Likes,Does not like,type_disruptor
2819,neutral,neutral,Does not like,neutral,Likes,neutral,Does not like,Does not like,Does not like,Does not like,Likes,neutral,type_player
3108,Does not like,Likes,Does not like,Likes,Does not like,Likes,neutral,Likes,neutral,Likes,Likes,Likes,type_player
3048,neutral,neutral,neutral,Does not like,Likes,Likes,Likes,Likes,Likes,Does not like,neutral,Likes,type_disruptor
3357,Likes,Likes,Does not like,Likes,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,Does not like,type_socializer
2115,Likes,neutral,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,Does not like,type_socializer
2003,Does not like,Does not like,Does not like,neutral,Likes,neutral,Does not like,neutral,neutral,Does not like,neutral,neutral,type_freeSpirit
2745,Likes,Does not like,neutral,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Does not like,Does not like,type_philanthropist
1359,Does not like,neutral,neutral,Does not like,Does not like,Likes,Likes,Likes,neutral,Likes,Does not like,Likes,type_disruptor
3324,neutral,neutral,Likes,neutral,Likes,neutral,Does not like,Likes,neutral,Likes,neutral,Likes,type_achiever
997,Does not like,Likes,neutral,Does not like,Does not like,neutral,Likes,neutral,Likes,neutral,Does not like,Does not like,type_achiever
4910,Does not like,Likes,Likes,neutral,neutral,Does not like,neutral,Likes,Likes,Likes,Does not like,Does not like,type_achiever
1017,Does not like,Does not like,Likes,neutral,Does not like,neutral,Likes,Likes,neutral,neutral,Likes,Likes,type_disruptor
1256,Does not like,neutral,Does not like,Likes,neutral,Likes,Does not like,neutral,neutral,Does not like,neutral,Does not like,type_freeSpirit
2419,neutral,neutral,Does not like,Likes,Does not like,neutral,neutral,Likes,neutral,neutral,Likes,Does not like,type_disruptor
2846,Does not like,neutral,neutral,neutral,neutral,neutral,Likes,neutral,Does not like,Does not like,Does not like,Does not like,type_disruptor
168,neutral,Likes,neutral,neutral,Likes,Does not like,Likes,neutral,Likes,neutral,Does not like,Does not like,type_socializer
3184,neutral,neutral,Likes,neutral,Likes,Does not like,Likes,Likes,neutral,Likes,neutral,neutral,type_disruptor
972,Does not like,Likes,Likes,neutral,Likes,neutral,neutral,Likes,neutral,neutral,Likes,Likes,type_player
2912,Likes,neutral,Likes,neutral,Does not like,neutral,Does not like,neutral,Likes,Likes,Does not like,neutral,type_achiever
3537,Does not like,Does not like,Likes,neutral,Does not like,neutral,neutral,Does not like,Likes,Likes,neutral,Does not like,type_achiever
2702,Does not like,Likes,neutral,Does not like,Likes,neutral,neutral,neutral,neutral,Does not like,Does not like,Likes,type_freeSpirit
2803,neutral,neutral,Likes,neutral,Likes,neutral,neutral,Likes,Likes,Does not like,neutral,neutral,type_disruptor
3102,Does not like,neutral,neutral,Likes,neutral,neutral,Likes,Likes,neutral,Does not like,Does not like,Does not like,type_disruptor
1988,Does not like,neutral,Likes,Likes,Does not like,neutral,Does not like,Likes,Likes,neutral,neutral,Does not like,type_philanthropist
3295,neutral,Likes,Likes,Does not like,neutral,Likes,Does not like,Likes,neutral,neutral,Does not like,Does not like,type_socializer
1554,Likes,Likes,neutral,neutral,neutral,Likes,neutral,Likes,Does not like,neutral,Does not like,Likes,type_socializer
4364,neutral,Does not like,Likes,neutral,Likes,neutral,Does not like,neutral,neutral,Likes,Likes,Does not like,type_achiever
889,neutral,neutral,neutral,Does not like,neutral,Likes,neutral,neutral,Does not like,Likes,neutral,Likes,type_player
540,neutral,neutral,neutral,Likes,neutral,neutral,neutral,neutral,neutral,Likes,Likes,neutral,type_achiever
4356,Likes,Does not like,Likes,Likes,neutral,neutral,Likes,Likes,neutral,neutral,neutral,neutral,type_disruptor
4558,neutral,neutral,Does not like,Likes,neutral,Likes,Likes,Does not like,neutral,Does not like,neutral,neutral,type_freeSpirit
3622,neutral,neutral,Likes,neutral,Likes,Likes,Likes,neutral,Likes,neutral,Likes,Does not like,type_freeSpirit
1607,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Likes,Likes,neutral,neutral,type_achiever
3647,Likes,neutral,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,neutral,neutral,neutral,type_philanthropist
1423,neutral,Likes,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,Does not like,Likes,Does not like,type_socializer
873,neutral,neutral,Likes,Likes,Does not like,Likes,neutral,Likes,Likes,neutral,Likes,Does not like,type_philanthropist
975,neutral,Does not like,neutral,Does not like,Likes,neutral,Does not like,neutral,neutral,Likes,Likes,Does not like,type_achiever
1101,neutral,neutral,Likes,neutral,Likes,Likes,neutral,Likes,neutral,Likes,Does not like,neutral,type_freeSpirit
2381,Likes,Likes,Does not like,Likes,Does not like,Likes,Does not like,Does not like,neutral,neutral,Likes,neutral,type_socializer
1917,neutral,neutral,Likes,Likes,Does not like,neutral,neutral,Does not like,Likes,Likes,Likes,Does not like,type_achiever
2958,Does not like,neutral,Does not like,Does not like,Likes,neutral,Likes,Does not like,neutral,Does not like,neutral,Likes,type_player
4547,Likes,Does not like,Likes,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Does not like,neutral,Likes,type_player
4333,Likes,Does not like,Does not like,neutral,Likes,Likes,neutral,Does not like,Likes,Likes,Does not like,Does not like,type_achiever
2518,Does not like,Does not like,Likes,Likes,Does not like,Likes,Likes,neutral,Likes,Does not like,Does not like,neutral,type_philanthropist
